Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Observation
E12000006,East of England,4,Europe: Other Europe: Rest of Europe,14806
E12000006,East of England,5,Africa: North Africa,3736
E12000006,East of England,6,Africa: Central and Western Africa,17470
E12000006,East of England,7,Africa: South and Eastern Africa,14176
E12000006,East of England,8,Middle East and Asia: Middle East,3165
E12000006,East of England,9,Middle East and Asia: Eastern Asia,10162
E12000006,East of England,10,Middle East and Asia: Southern Asia,52772
E12000006,East of England,11,Middle East and Asia: South-East Asia,13011
E12000006,East of England,12,Middle East and Asia: Central Asia,287
E12000006,East of England,13,The Americas and the Caribbean: North America,28405
E12000006,East of England,14,The Americas and the Caribbean: Central and South America,9655
E12000006,East of England,15,"Antarctica and Oceania, including Australasia",5979
E12000006,East of England,16,British Overseas Territories,37
E12000006,East of England,17,No passport held,822213
E12000007,London,-8,Does not apply,0
E12000007,London,1,Europe: United Kingdom,6204345
E12000007,London,2,Europe: Ireland,120003
E12000007,London,3,Europe: Other Europe: EU Member countries,1169327
E12000007,London,4,Europe: Other Europe: Rest of Europe,82111
E12000007,London,5,Africa: North Africa,16314
E12000007,London,6,Africa: Central and Western Africa,73762
E12000007,London,7,Africa: South and Eastern Africa,32372
E12000007,London,8,Middle East and Asia: Middle East,21820
E12000007,London,9,Middle East and Asia: Eastern Asia,58732
E12000007,London,10,Middle East and Asia: Southern Asia,227579
E12000007,London,11,Middle East and Asia: South-East Asia,44421
E12000007,London,12,Middle East and Asia: Central Asia,2557
E12000007,London,13,The Americas and the Caribbean: North America,57852
E12000007,London,14,The Americas and the Caribbean: Central and South America,72808
E12000007,London,15,"Antarctica and Oceania, including Australasia",36798
E12000007,London,16,British Overseas Territories,89
E12000007,London,17,No passport held,478944
E12000008,South East,-8,Does not apply,0
E12000008,South East,1,Europe: United Kingdom,7266748
E12000008,South East,2,Europe: Ireland,56733
E12000008,South East,3,Europe: Other Europe: EU Member countries,485314
E12000008,South East,4,Europe: Other Europe: Rest of Europe,22539
E12000008,South East,5,Africa: North Africa,5924
E12000008,South East,6,Africa: Central and Western Africa,21059
E12000008,South East,7,Africa: South and Eastern Africa,28715
E12000008,South East,8,Middle East and Asia: Middle East,6595
E12000008,South East,9,Middle East and Asia: Eastern Asia,19559
E12000008,South East,10,Middle East and Asia: Southern Asia,97195
E12000008,South East,11,Middle East and Asia: South-East Asia,19875
E12000008,South East,12,Middle East and Asia: Central Asia,629
E12000008,South East,13,The Americas and the Caribbean: North America,23065
E12000008,South East,14,The Americas and the Caribbean: Central and South America,17746
E12000008,South East,15,"Antarctica and Oceania, including Australasia",13097
E12000008,South East,16,British Overseas Territories,64
E12000008,South East,17,No passport held,1003695
E12000009,South West,-8,Does not apply,0
E12000009,South West,1,Europe: United Kingdom,4377543
E12000009,South West,2,Europe: Ireland,21032
E12000009,South West,3,Europe: Other Europe: EU Member countries,219384
E12000009,South West,4,Europe: Other Europe: Rest of Europe,7687
E12000009,South West,5,Africa: North Africa,2307
E12000009,South West,6,Africa: Central and Western Africa,5664
E12000009,South West,7,Africa: South and Eastern Africa,8752
E12000009,South West,8,Middle East and Asia: Middle East,2724
E12000009,South West,9,Middle East and Asia: Eastern Asia,7533
E12000009,South West,10,Middle East and Asia: Southern Asia,25340
E12000009,South West,11,Middle East and Asia: South-East Asia,9465
E12000009,South West,12,Middle East and Asia: Central Asia,238
E12000009,South West,13,The Americas and the Caribbean: North America,10054
E12000009,South West,14,The Americas and the Caribbean: Central and South America,8642
E12000009,South West,15,"Antarctica and Oceania, including Australasia",6004
E12000009,South West,16,British Overseas Territories,35
E12000009,South West,17,No passport held,870195
W92000004,Wales,-8,Does not apply,0
W92000004,Wales,1,Europe: United Kingdom,2369680
W92000004,Wales,2,Europe: Ireland,9564
W92000004,Wales,3,Europe: Other Europe: EU Member countries,71332
W92000004,Wales,4,Europe: Other Europe: Rest of Europe,2740
W92000004,Wales,5,Africa: North Africa,1960
W92000004,Wales,6,Africa: Central and Western Africa,2964
W92000004,Wales,7,Africa: South and Eastern Africa,2605
W92000004,Wales,8,Middle East and Asia: Middle East,3070
W92000004,Wales,9,Middle East and Asia: Eastern Asia,3452
W92000004,Wales,10,Middle East and Asia: Southern Asia,10749
W92000004,Wales,11,Middle East and Asia: South-East Asia,3418
W92000004,Wales,12,Middle East and Asia: Central Asia,76
W92000004,Wales,13,The Americas and the Caribbean: North America,3202
W92000004,Wales,14,The Americas and the Caribbean: Central and South America,1527
W92000004,Wales,15,"Antarctica and Oceania, including Australasia",1456
W92000004,Wales,16,British Overseas Territories,11
W92000004,Wales,17,No passport held,563741
