Regions Code,Passports held,Highest level of qualification,Observation
E12000003,7,3,1197
E12000003,7,4,2739
E12000003,7,5,396
E12000003,8,0,1444
E12000003,8,1,419
E12000003,8,2,283
E12000003,8,3,304
E12000003,8,4,2705
E12000003,8,5,555
E12000003,9,0,1281
E12000003,9,1,306
E12000003,9,2,256
E12000003,9,3,410
E12000003,9,4,3742
E12000003,9,5,528
E12000003,10,0,12568
E12000003,10,1,3912
E12000003,10,2,1915
E12000003,10,3,1849
E12000003,10,4,13493
E12000003,10,5,3506
E12000003,11,0,1073
E12000003,11,1,467
E12000003,11,2,359
E12000003,11,3,499
E12000003,11,4,3088
E12000003,11,5,510
E12000003,12,0,4
E12000003,12,1,3
E12000003,12,2,2
E12000003,12,3,7
E12000003,12,4,75
E12000003,12,5,7
E12000003,13,0,460
E12000003,13,1,164
E12000003,13,2,354
E12000003,13,3,535
E12000003,13,4,3792
E12000003,13,5,411
E12000003,14,0,618
E12000003,14,1,366
E12000003,14,2,314
E12000003,14,3,366
E12000003,14,4,1725
E12000003,14,5,366
E12000003,15,0,207
E12000003,15,1,151
E12000003,15,2,204
E12000003,15,3,417
E12000003,15,4,1165
E12000003,15,5,241
E12000003,16,0,13
E12000003,16,1,3
E12000003,16,2,11
E12000003,16,3,8
E12000003,16,4,4
E12000003,16,5,7
E12000003,17,0,240785
E12000003,17,1,73527
E12000003,17,2,73070
E12000003,17,3,56527
E12000003,17,4,66584
E12000003,17,5,60480
E12000004,1,0,457595
E12000004,1,1,306690
E12000004,1,2,451354
E12000004,1,3,594364
E12000004,1,4,973911
E12000004,1,5,245639
E12000004,2,0,3534
E12000004,2,1,1056
E12000004,2,2,1561
E12000004,2,3,2570
E12000004,2,4,6139
E12000004,2,5,1341
E12000004,3,0,59691
E12000004,3,1,24178
E12000004,3,2,20403
E12000004,3,3,26972
E12000004,3,4,67327
E12000004,3,5,34896
E12000004,4,0,1718
E12000004,4,1,594
E12000004,4,2,430
E12000004,4,3,519
E12000004,4,4,2495
E12000004,4,5,811
E12000004,5,0,459
E12000004,5,1,164
E12000004,5,2,138
E12000004,5,3,136
E12000004,5,4,1461
E12000004,5,5,265
E12000004,6,0,1101
E12000004,6,1,700
E12000004,6,2,816
E12000004,6,3,968
E12000004,6,4,5559
E12000004,6,5,674
E12000004,7,0,775
E12000004,7,1,832
E12000004,7,2,1099
E12000004,7,3,1699
E12000004,7,4,3735
E12000004,7,5,539
E12000004,8,0,550
E12000004,8,1,176
E12000004,8,2,174
E12000004,8,3,153
E12000004,8,4,1762
E12000004,8,5,295
E12000004,9,0,992
E12000004,9,1,265
E12000004,9,2,175
E12000004,9,3,410
E12000004,9,4,3136
E12000004,9,5,439
E12000004,10,0,13207
E12000004,10,1,4338
E12000004,10,2,2518
E12000004,10,3,2237
E12000004,10,4,16387
E12000004,10,5,4142
E12000004,11,0,930
E12000004,11,1,413
E12000004,11,2,352
E12000004,11,3,524
E12000004,11,4,2951
E12000004,11,5,433
E12000004,12,0,14
E12000004,12,1,3
E12000004,12,2,6
E12000004,12,3,3
E12000004,12,4,57
E12000004,12,5,11
E12000004,13,0,629
E12000004,13,1,228
E12000004,13,2,333
E12000004,13,3,588
E12000004,13,4,3290
E12000004,13,5,450
E12000004,14,0,654
E12000004,14,1,344
E12000004,14,2,359
E12000004,14,3,495
E12000004,14,4,1696
E12000004,14,5,497
E12000004,15,0,189
E12000004,15,1,112
E12000004,15,2,156
E12000004,15,3,350
E12000004,15,4,1092
E12000004,15,5,182
E12000004,16,0,6
E12000004,16,1,9
E12000004,16,2,14
E12000004,16,3,11
E12000004,16,4,19
E12000004,16,5,2
E12000004,17,0,212763
E12000004,17,1,70846
E12000004,17,2,69604
E12000004,17,3,55666
E12000004,17,4,58738
E12000004,17,5,54995
E12000005,1,0,617981
