,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E12000002,North West,2,Europe: Ireland,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,2,Europe: Ireland,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,2,Europe: Ireland,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,2,Europe: Ireland,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,2,Europe: Ireland,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,2,Europe: Ireland,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,-8,Does not apply,5945
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",154
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,2,2. Professional occupations,477
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,187
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,167
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,5,5. Skilled trades occupations,137
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",181
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,174
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",104
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,9,9. Elementary occupations,183
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,-8,Does not apply,14889
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",2314
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,2,2. Professional occupations,6199
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,2279
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,1340
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,1175
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",1585
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,1000
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",1036
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,9,9. Elementary occupations,1348
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,-8,Does not apply,0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,1,"1. Managers, directors and senior officials",0
